Implemented,Source Instance,Source Port,Destination Instance,Destination Port,Type,Interface Type,Enable Connection
x,u_aipu.u_noc_top,aic_3_targ_lt_axi_m,u_aipu.u_ai_core_p_3,noc_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_3_targ_syscfg_apb_m,u_aipu.u_ai_core_p_3,cfg_apb4_s,Protocol,APB4,N/A
x,u_aipu.u_ai_core_p_3,tok_prod_ocpl_m,u_aipu.u_noc_top,aic_3_init_tok_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_noc_top,aic_3_targ_tok_ocpl_m,u_aipu.u_ai_core_p_3,tok_cons_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_ai_core_p_3,o_noc_async_idle_req,u_aipu.u_noc_top,i_aic_3_pwr_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_3_pwr_idle_ack,u_aipu.u_ai_core_p_3,i_noc_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_3_pwr_idle_val,u_aipu.u_ai_core_p_3,i_noc_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_3,o_noc_ocpl_tok_async_idle_req,u_aipu.u_noc_top,i_aic_3_pwr_tok_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_3_pwr_tok_idle_ack,u_aipu.u_ai_core_p_3,i_noc_ocpl_tok_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_3_pwr_tok_idle_val,u_aipu.u_ai_core_p_3,i_noc_ocpl_tok_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_3,o_noc_clken,u_aipu.u_noc_top,i_aic_3_clken,,,N/A
x,u_aipu.u_ai_core_p_3,o_noc_rst_n,u_aipu.u_noc_top,i_aic_3_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_fast_clk,u_aipu.u_ai_core_p_3,i_clk,,,N/A
x,u_aipu.u_soc_mgmt_p,o_ao_rst_n,u_aipu.u_ai_core_p_3,i_ao_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_rst_n,u_aipu.u_ai_core_p_3,i_global_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_sync,u_aipu.u_ai_core_p_3,i_inter_core_sync,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_ibias_ts[3],u_aipu.u_ai_core_p_3,io_ibias_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_vsense_ts[3],u_aipu.u_ai_core_p_3,io_vsense_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,o_debugint[9],u_aipu.u_ai_core_p_3,i_debug_int_async,,,N/A
x,u_aipu.u_soc_mgmt_p,o_resethaltreq[9],u_aipu.u_ai_core_p_3,i_resethaltreq_async,,,N/A
x,u_aipu.u_ai_core_p_3,o_hart_unavail_async,u_aipu.u_soc_mgmt_p,i_hart_unavail[9],,,N/A
x,u_aipu.u_ai_core_p_3,o_hart_under_reset_async,u_aipu.u_soc_mgmt_p,i_hart_under_reset[9],,,N/A
x,u_aipu.u_apu_p,o_aic_msip[3],u_aipu.u_ai_core_p_3,i_msip_async,,,N/A
x,u_aipu.u_apu_p,o_aic_mtip[3],u_aipu.u_ai_core_p_3,i_mtip_async,,,N/A
x,u_aipu.u_ai_core_p_3,o_stoptime_async,u_aipu.u_apu_p,i_aic_stoptime[3],,,N/A
x,,4,u_aipu.u_ai_core_p_3,i_cid,,,N/A
,,,,,,,
x,u_aipu.u_ai_core_p_4,noc_ht_axi_m,u_aipu.u_noc_top,aic_4_init_ht_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_ai_core_p_4,noc_lt_axi_m,u_aipu.u_noc_top,aic_4_init_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_4_targ_lt_axi_m,u_aipu.u_ai_core_p_4,noc_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_4_targ_syscfg_apb_m,u_aipu.u_ai_core_p_4,cfg_apb4_s,Protocol,APB4,N/A
x,u_aipu.u_ai_core_p_4,tok_prod_ocpl_m,u_aipu.u_noc_top,aic_4_init_tok_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_noc_top,aic_4_targ_tok_ocpl_m,u_aipu.u_ai_core_p_4,tok_cons_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_ai_core_p_4,o_noc_async_idle_req,u_aipu.u_noc_top,i_aic_4_pwr_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_4_pwr_idle_ack,u_aipu.u_ai_core_p_4,i_noc_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_4_pwr_idle_val,u_aipu.u_ai_core_p_4,i_noc_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_4,o_noc_ocpl_tok_async_idle_req,u_aipu.u_noc_top,i_aic_4_pwr_tok_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_4_pwr_tok_idle_ack,u_aipu.u_ai_core_p_4,i_noc_ocpl_tok_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_4_pwr_tok_idle_val,u_aipu.u_ai_core_p_4,i_noc_ocpl_tok_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_4,o_noc_clken,u_aipu.u_noc_top,i_aic_4_clken,,,N/A
x,u_aipu.u_ai_core_p_4,o_noc_rst_n,u_aipu.u_noc_top,i_aic_4_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_fast_clk,u_aipu.u_ai_core_p_4,i_clk,,,N/A
x,u_aipu.u_soc_mgmt_p,o_ao_rst_n,u_aipu.u_ai_core_p_4,i_ao_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_rst_n,u_aipu.u_ai_core_p_4,i_global_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_sync,u_aipu.u_ai_core_p_4,i_inter_core_sync,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_ibias_ts[4],u_aipu.u_ai_core_p_4,io_ibias_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_vsense_ts[4],u_aipu.u_ai_core_p_4,io_vsense_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,o_debugint[10],u_aipu.u_ai_core_p_4,i_debug_int_async,,,N/A
x,u_aipu.u_soc_mgmt_p,o_resethaltreq[10],u_aipu.u_ai_core_p_4,i_resethaltreq_async,,,N/A
x,u_aipu.u_ai_core_p_4,o_hart_unavail_async,u_aipu.u_soc_mgmt_p,i_hart_unavail[10],,,N/A
x,u_aipu.u_ai_core_p_4,o_hart_under_reset_async,u_aipu.u_soc_mgmt_p,i_hart_under_reset[10],,,N/A
x,u_aipu.u_apu_p,o_aic_msip[4],u_aipu.u_ai_core_p_4,i_msip_async,,,N/A
x,u_aipu.u_apu_p,o_aic_mtip[4],u_aipu.u_ai_core_p_4,i_mtip_async,,,N/A
x,u_aipu.u_ai_core_p_4,o_stoptime_async,u_aipu.u_apu_p,i_aic_stoptime[4],,,N/A
x,,5,u_aipu.u_ai_core_p_4,i_cid,,,N/A
,,,,,,,
x,u_aipu.u_ai_core_p_5,noc_ht_axi_m,u_aipu.u_noc_top,aic_5_init_ht_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_ai_core_p_5,noc_lt_axi_m,u_aipu.u_noc_top,aic_5_init_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_5_targ_lt_axi_m,u_aipu.u_ai_core_p_5,noc_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_5_targ_syscfg_apb_m,u_aipu.u_ai_core_p_5,cfg_apb4_s,Protocol,APB4,N/A
x,u_aipu.u_ai_core_p_5,tok_prod_ocpl_m,u_aipu.u_noc_top,aic_5_init_tok_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_noc_top,aic_5_targ_tok_ocpl_m,u_aipu.u_ai_core_p_5,tok_cons_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_ai_core_p_5,o_noc_async_idle_req,u_aipu.u_noc_top,i_aic_5_pwr_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_5_pwr_idle_ack,u_aipu.u_ai_core_p_5,i_noc_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_5_pwr_idle_val,u_aipu.u_ai_core_p_5,i_noc_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_5,o_noc_ocpl_tok_async_idle_req,u_aipu.u_noc_top,i_aic_5_pwr_tok_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_5_pwr_tok_idle_ack,u_aipu.u_ai_core_p_5,i_noc_ocpl_tok_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_5_pwr_tok_idle_val,u_aipu.u_ai_core_p_5,i_noc_ocpl_tok_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_5,o_noc_clken,u_aipu.u_noc_top,i_aic_5_clken,,,N/A
x,u_aipu.u_ai_core_p_5,o_noc_rst_n,u_aipu.u_noc_top,i_aic_5_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_fast_clk,u_aipu.u_ai_core_p_5,i_clk,,,N/A
x,u_aipu.u_soc_mgmt_p,o_ao_rst_n,u_aipu.u_ai_core_p_5,i_ao_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_rst_n,u_aipu.u_ai_core_p_5,i_global_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_sync,u_aipu.u_ai_core_p_5,i_inter_core_sync,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_ibias_ts[5],u_aipu.u_ai_core_p_5,io_ibias_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_vsense_ts[5],u_aipu.u_ai_core_p_5,io_vsense_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,o_debugint[11],u_aipu.u_ai_core_p_5,i_debug_int_async,,,N/A
x,u_aipu.u_soc_mgmt_p,o_resethaltreq[11],u_aipu.u_ai_core_p_5,i_resethaltreq_async,,,N/A
x,u_aipu.u_ai_core_p_5,o_hart_unavail_async,u_aipu.u_soc_mgmt_p,i_hart_unavail[11],,,N/A
x,u_aipu.u_ai_core_p_5,o_hart_under_reset_async,u_aipu.u_soc_mgmt_p,i_hart_under_reset[11],,,N/A
x,u_aipu.u_apu_p,o_aic_msip[5],u_aipu.u_ai_core_p_5,i_msip_async,,,N/A
x,u_aipu.u_apu_p,o_aic_mtip[5],u_aipu.u_ai_core_p_5,i_mtip_async,,,N/A
x,u_aipu.u_ai_core_p_5,o_stoptime_async,u_aipu.u_apu_p,i_aic_stoptime[5],,,N/A
x,,6,u_aipu.u_ai_core_p_5,i_cid,,,N/A
,,,,,,,
x,u_aipu.u_ai_core_p_6,noc_ht_axi_m,u_aipu.u_noc_top,aic_6_init_ht_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_ai_core_p_6,noc_lt_axi_m,u_aipu.u_noc_top,aic_6_init_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_6_targ_lt_axi_m,u_aipu.u_ai_core_p_6,noc_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_6_targ_syscfg_apb_m,u_aipu.u_ai_core_p_6,cfg_apb4_s,Protocol,APB4,N/A
x,u_aipu.u_ai_core_p_6,tok_prod_ocpl_m,u_aipu.u_noc_top,aic_6_init_tok_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_noc_top,aic_6_targ_tok_ocpl_m,u_aipu.u_ai_core_p_6,tok_cons_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_ai_core_p_6,o_noc_async_idle_req,u_aipu.u_noc_top,i_aic_6_pwr_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_6_pwr_idle_ack,u_aipu.u_ai_core_p_6,i_noc_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_6_pwr_idle_val,u_aipu.u_ai_core_p_6,i_noc_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_6,o_noc_ocpl_tok_async_idle_req,u_aipu.u_noc_top,i_aic_6_pwr_tok_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_6_pwr_tok_idle_ack,u_aipu.u_ai_core_p_6,i_noc_ocpl_tok_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_6_pwr_tok_idle_val,u_aipu.u_ai_core_p_6,i_noc_ocpl_tok_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_6,o_noc_clken,u_aipu.u_noc_top,i_aic_6_clken,,,N/A
x,u_aipu.u_ai_core_p_6,o_noc_rst_n,u_aipu.u_noc_top,i_aic_6_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_fast_clk,u_aipu.u_ai_core_p_6,i_clk,,,N/A
x,u_aipu.u_soc_mgmt_p,o_ao_rst_n,u_aipu.u_ai_core_p_6,i_ao_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_rst_n,u_aipu.u_ai_core_p_6,i_global_rst_n,,,N/A
x,u_aipu.u_soc_mgmt_p,o_global_sync,u_aipu.u_ai_core_p_6,i_inter_core_sync,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_ibias_ts[6],u_aipu.u_ai_core_p_6,io_ibias_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,io_pvt_vsense_ts[6],u_aipu.u_ai_core_p_6,io_vsense_ts,,,N/A
x,u_aipu.u_soc_mgmt_p,o_debugint[12],u_aipu.u_ai_core_p_6,i_debug_int_async,,,N/A
x,u_aipu.u_soc_mgmt_p,o_resethaltreq[12],u_aipu.u_ai_core_p_6,i_resethaltreq_async,,,N/A
x,u_aipu.u_ai_core_p_6,o_hart_unavail_async,u_aipu.u_soc_mgmt_p,i_hart_unavail[12],,,N/A
x,u_aipu.u_ai_core_p_6,o_hart_under_reset_async,u_aipu.u_soc_mgmt_p,i_hart_under_reset[12],,,N/A
x,u_aipu.u_apu_p,o_aic_msip[6],u_aipu.u_ai_core_p_6,i_msip_async,,,N/A
x,u_aipu.u_apu_p,o_aic_mtip[6],u_aipu.u_ai_core_p_6,i_mtip_async,,,N/A
x,u_aipu.u_ai_core_p_6,o_stoptime_async,u_aipu.u_apu_p,i_aic_stoptime[6],,,N/A
x,,7,u_aipu.u_ai_core_p_6,i_cid,,,N/A
,,,,,,,
x,u_aipu.u_ai_core_p_7,noc_ht_axi_m,u_aipu.u_noc_top,aic_7_init_ht_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_ai_core_p_7,noc_lt_axi_m,u_aipu.u_noc_top,aic_7_init_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_7_targ_lt_axi_m,u_aipu.u_ai_core_p_7,noc_lt_axi_s,Protocol,AXI4,N/A
x,u_aipu.u_noc_top,aic_7_targ_syscfg_apb_m,u_aipu.u_ai_core_p_7,cfg_apb4_s,Protocol,APB4,N/A
x,u_aipu.u_ai_core_p_7,tok_prod_ocpl_m,u_aipu.u_noc_top,aic_7_init_tok_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_noc_top,aic_7_targ_tok_ocpl_m,u_aipu.u_ai_core_p_7,tok_cons_ocpl_s,Protocol,OCP-Lite,N/A
x,u_aipu.u_ai_core_p_7,o_noc_async_idle_req,u_aipu.u_noc_top,i_aic_7_pwr_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_7_pwr_idle_ack,u_aipu.u_ai_core_p_7,i_noc_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_7_pwr_idle_val,u_aipu.u_ai_core_p_7,i_noc_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_7,o_noc_ocpl_tok_async_idle_req,u_aipu.u_noc_top,i_aic_7_pwr_tok_idle_req,,,N/A
x,u_aipu.u_noc_top,o_aic_7_pwr_tok_idle_ack,u_aipu.u_ai_core_p_7,i_noc_ocpl_tok_async_idle_ack,,,N/A
x,u_aipu.u_noc_top,o_aic_7_pwr_tok_idle_val,u_aipu.u_ai_core_p_7,i_noc_ocpl_tok_async_idle_val,,,N/A
x,u_aipu.u_ai_core_p_7,o_noc_clken,u_aipu.u_noc_top,i_aic_7_clken,,,N/A
x,u_aipu.u_ai_core_p_7,o_noc_rst_n,u_aipu.u_noc_top,i_aic_7_rst_n,,,N/A
