Name	Type	Req_id	Description	Measure	Source	Coverpoints if applicable	Remarks	STATUS
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__3	When Throttle unit is in 'Soft throttle mode', check that (a) the MVM average utilization (`avg_utils_i`) does never exceed `max_limit_i` irrespective of the throttle input and (b) that the MVM average utilization (`avg_utils_i`) ramps to `throttle_limit` when the throttle is enagaged, and (c) ramps back to `max_limit_i`  when the throttle is disengage again. Test value for `throttle_limit` = 8, with a `max_limit_i` = 32  `throttle_limit`. Test a few different settings for soft_throttle_incr_time_i / soft_throttle_decr_time_i / soft_throttle_prescale_i, which results in a resonable ramp of `util_limit_o`	test.percent_pass	ai_core_top_soft_throttle_verif_test		The last part of this requirement is verifified in the ai_core_infra	
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__4	Software throttling works - Check that the throttling can be engaged/disengade using the AI core CSR -> verify on the MVM  (`avg_utils_i`) [recommend to use the hard throtting mode with max=32 and limit=6]	test.percent_pass	ai_core_top_*_throttle_verif_test			
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__5	Externalthrottling works - Check that the throttling can be engaged/disengade using the input from sys ctrl. Check for hard and soft throttle modes	test.percent_pass	ai_core_top_external_throttle_test			
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__6	Check that the temperature throttling works. Force PVT temperure below throttle_on_temp_i, check that MVM runs at max_util. Increase PVT temperture above throttle_on_temp_i, confirm that MVM utilization is below avg_utils_i. Decrease temperture again below throttle_off_temp, check that throttle disengages again. [recommend to use the hard throtting mode with max=32 and limit=6]	test.percent_pass	ai_core_top_temp_throttle_test			
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__7	Check that the voltage supervisor throttling works (repeat procedure of AI_CORE_THROTTLE__6 with the voltages supervisor)	test.percent_pass	ai_core_top_volt_throttle_test			
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__8	Check during test AI_CORE_THROTTLE__6 that the min/max temperature observation works w.r.t to the test parameter(the min-max value register),,	test.percent_pass	ai_core_top_temp_throttle_test			
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__9	Check during test AI_CORE_THROTTLE__77 that the min/max voltage observation works w.r.t. to the test parameter	test.percent_pass	ai_core_top_volt_throttle_test			
AI_CORE_THROTTLE	UVM	AI_CORE_THROTTLE__10	Complex test with non-static MVM. the matrix size will be changing in the testcase.	test.percent_pass	ai_core_top_throttle_non_static_mvm_test			
AICORE-DMA	UVM	AICDMA_002	Verify that AICORE DMA performs simultaneous Read and Write transfers from DDR and/or L2  to L1 memory with maximum possible throughput and no bubbles in between. This requirement applies to each DMA channel.					
AICORE-DMA	UVM	AICDMA_003	Verify that AICORE-DMA  supports 2 different configuration methods. One will be command based including tokens  and one via direct CPU access.					
AICORE-DMA	UVM	AICDMA_100 , AICDMA_102	Verify that 2 AXI4 master ports in AICORE DMA  have access to the full memory map and full duplex in order to allow simultaneous read/write operations.					
AICORE-DMA	UVM	AICDMA_103	Verify that  AICORE DMA  receives commands from the CPU through AXI4 configuration interface.					
AICORE-DMA	UVM	AICDMA_107	Verify the token lines are working properly along with tokens from IFD,ODR tokens of both MVM and DWPU					
AICORE-DMA	UVM	AICDMA_111	Verify that AICORE-DMA instance will  be able to reach the SPM memory with as low latency as possible.					
AICORE-PRG-DMA	UVM	AICPDMA_000	Verify that AICORE PRG DMA ( loads control data)  performs simultaneous Read and Write transfers from the external to the AICORE memories (DDR/L2/SYS-SPM)  to the internal to the AICORE control memories (SPM).					
AICORE-PRG-DMA	UVM	AICPDMA_000	Verify that AICORE PRG DMA ( loads control data)  performs simultaneous Read and Write transfers from SPM to AICORE datapath units					
AICORE-PRG-DMA	UVM	AICPDMA_103	Verify that  AICORE PRG DMA  receives commands from the CPU through AXI4 configuration interface.					
AI_CORE_IRQ	UVM	AI_CORE_IRQ__0	Check the DBG_SW interrupt of all subblocks.Also check the registers corresponding to that.	test.percent_pass	ai_core_top_dwpu_irq_test,ai_core_top_mvm_irq_test,ai_core_top_iau_dpu_irq_test		 corresponding fiat test - test_dp_sw_irq	
AI_CORE_IRQ	UVM	AI_CORE_IRQ__1	Check the command fifo overfill scenario for all sub block's cmd fifo. Check the cmd dropped interrupt is coming.Verify the corresponding status registers as well.	test.percent_pass	ai_core_top_cmd_fifo_overfill_test		 corresponding fiat test - test_dp_cmd_fifo	
AI_CORE_IRQ	??	AI_CORE_IRQ__2	"IRQ LIST:                                                                                                                   MVM
IAU (MVM one)
DPU (MVM one)
DWPU
IAU (DWPU one)
DPU (DWPU one)
6 IFD's (m_ifd0-2, m_ifdw, d_ifd0-1)
2 ODR's (m_odr, d_odr)
TokenMgr (maybe 2, for non-zero SWEP?)
2 for DMA lt (common + channel)
5(3) for DMA ht (common + 4(2) channels)
Thermal warning
Thermal shutdown.                                                                                                           Throttling ??"	??	??	??	https://git.axelera.ai/prod/europa/-/issues/165  ->  no. of irq lines	
AI_CORE_PLIC	 ?? FW test ??	AI_CORE_PLIC__0	The PLIC integration will need to be verified to ensure that interrupts are still working as expected. Most likely to be done by the FW verification side.	??	??	??	https://git.axelera.ai/prod/europa/-/issues/360      ->plic integration from design side	
AI_CORE_TRACING	??	AI_CORE_TRACING__0	Timestamp logging                                                                                       Performance counters                                                                               Tracing infrastruture                                                                        	??	??	??	Not verified in triton.  Do we need block level??                                                                                                          Specification:                                                                                                                                                                  https://axeleraai.atlassian.net/wiki/spaces/archrd/pages/405143691/Tracing  Issue:                                                                                                                               https://git.axelera.ai/prod/europa/-/issues/134	
AI_CORE	UVM	AI_CORE_MVM_SW_TESTMODE__0	Check all sw testmodes of mvm. (TODO: Add checker)	test.percent_pass	ai_core_top_mvm_sw_test_mode_test		corresponding fiat test - test_dp_mvm_test_modes . Prashanthi adding checker for mvm block level. Port that to the top level. ( https://git.axelera.ai/ai-dv-team/dv-europa-planning/AIC-MVM/-/issues/41)	
AI_CORE	UVM	AI_CORE_BLOCK_ID__0	Checks the block id of all blocks in ai core. Also checks scratch pad register accesses	test.percent_pass	ai_core_top_block_id_read_test		 corresponding fiat test - test_dp_csr	
AI_CORE	UVM	AI_CORE_INTERLEAVING__0	axi master read interleaving test case	test.percent_pass	ai_core_top_axi_master_read_interleaving_test			
AI_CORE	UVM	AI_CORE_B2B_BACKPRESSURE__0	ai_core backpressuring scenario	test.percent_pass	ai_core_top_b2b_backpressure_test			
AI_CORE_CD	UVM	??	??	??	??	??	Need to have a block level tb                                                                                                                        https://git.axelera.ai/prod/europa/-/issues/115	
AI_CORE_CLK_GATING	??	??	??	??	??	??	https://git.axelera.ai/prod/europa/-/issues/145	
