Name,Type,Req_id,Description,Measure,Test,Coverpoints if applicable
IRQ,UVM,AI_CORE_IAU_IRQ_ACT_STRM_IN,Enable ERR_ACT_STREAM_IN IRQ and trigger it by not consuming the entire input stream with a single command.,"directed test, verified by mdl",iau_irq_test,
IRQ,UVM,AI_CORE_IAU_IRQ_ACT_STRM_OUT,Enable ERR_ACT_STREAM_OUT IRQ and trigger it by not outputting a complete output stream with a single command (missing TLAST).,"directed test, verified by mdl",iau_irq_test,-
IRQ,UVM,AI_CORE_IAU_IRQ_PRG_SEGFAULT,Enable ERR_PRG_SEGFAULT IRQ and trigger it by pointing to a program outside the valid prg mem range.,"directed test, verified by mdl",iau_irq_test,-
IRQ,UVM,AI_CORE_IAU_IRQ_PRG_LEN_ZERO,Enable ERR_PRG_LEN_ZERO IRQ and trigger it by sending a command with loop_len equal to zero.,"directed test, verified by mdl",iau_irq_test,-
IRQ,UVM,AI_CORE_IAU_IRQ_DEBUG,Enable DBG_SW_INTERRUPT IRQ and trigger it by writing to DP_CTRL.DBG_SW_IRQ.,"directed test, verified by mdl",iau_irq_test,-
IRQ,UVM,AI_CORE_IAU_IRQ_CMD_DROPPED,Enable CMDBLK_CMD_DROPPED IRQ and trigger it by overfilling the CMD FIFO.,"directed test, verified by mdl",iau_cmdblk_backpressure_test,
Concurrency,UVM,AI_CORE_IAU_CONCURRENCY_CMD,Send next command while current command is being executed.,"directed test, verified by mdl",iau_cmdblk_backpressure_test,-
Token,UVM,AI_CORE_IAU_TOKEN_PROD,Verify that the end of execution of a command marked by a cmd_done pulse produces any token set to be produced from the command header (gate SW with SW token).,func cov,iau_standard_test,cvg_tok
Token,UVM,AI_CORE_IAU_TOKEN_CMD_DONE,Check that cmd_done pulses only after the last instruction has been executed (last stream beat only needs to be buffered and thus not need to be sent out yet).,code cov,iau_standard_test,
AXIS,UVM,AI_CORE_IAU_AXIS_STALLING,Verify that input AXIS can properly stall the datapath.,code cov,iau_standard_test,stalled_in_stream signal
AXIS,UVM,AI_CORE_IAU_AXIS_BACKPRESSURE,Verify that datapath can handle output AXIS backpressure.,"VIP is configured to set for some cycles axis_m_tready_i = 0, you can see it in standard test. Maybe toggling coverage of tready_i 1 to 0, 0 to 1 should be enough?",iau_standard_test,toggle cov of axis_m_tready_i signal
Command,UVM,AI_CORE_IAU_CMD_LOOP_LEN_ZERO,Send standard command with loop_len equal to zero which should result in no operation being executed (pulses cmd_done signal right after).,"directed test, verified by mdl",iau_irq_test,-
Command,UVM,AI_CORE_IAU_CMD_LOOP_ITER_ZERO,Send standard command with loop_iter equal to zero which should result in no operation being executed (pulses cmd_done signal right after).,"directed test, verified by mdl",iau_irq_test,-
Observation,UVM,AI_CORE_IAU_OBS,Check the observation signals,TBD,TBD,
,UVM,AI_CORE_IAU_STREAM_PEEK,Stream peek support (Not yet defined),TBD,TBD,
