Name,Type,Req_id,Prioirity,Description,Measure,Testcase,Covergroup if applicable,From CVA6 Vplan
branch history table,FRONTEND.PCGenStage,CVA6V_003,5,"If instruction is a branch and BTH (Branch History table) returns a valid address, next PC is predicted by BHT. Else branch is not considered as an control flow instruction, which will generate a mispredict when branch is taken. Execute test with BRANCH instructions. Functional cov: a BRANCH is executed, BTB output is not valid and the branch is taken.",Functional Coverage,,Control_Flow,Yes
return address stack,FRONTEND.PCGenStage,CVA6V_003,5,If instruction is a RET and RAS (Return Address Stack) returns a valid address then RET has already been consummed by instruction queue. Else RET is considered as a control flow instruction but next PC is not predicted. A mispredict wil be generated. e test with RET instructions. Functional cov: RET is executed and RAS output is not valid.,Functional Coverage,,Control_Flow,Yes
return from environment call,FRONTEND.PCGenStage,CVA6V_003,5,"When CSR asks a return from an environment call, the PC is assigned to the successive PC to the one stored in the CSR [m-s]epc register. Set two different addresses for mepc and sepc in CSR registers. Use a arc_test returning from machine env call. Check that when machine return occurs the m/sepc address is fetched. Functional cov: execute a machine/supervisor return.",Functional Coverage,,Privileged_Instructions,Yes
pc generation exception/interrupt,FRONTEND.PCGenStage,CVA6V_007,4,"If an exception (or interrupt, which is in the context of RISC-V systems quite similar) is triggered by the COMMIT, the next PC Gen is assigned to the CSR trap vector base address. The trap vector base address can be different depending on whether the exception traps to S-Mode or M-Mode (user mode exceptions are currently not supported) Set two different addresses for machine and supervisor handlers in CSR registers. Use a test which executes in machine mode and generates a machine exception by UVM. Check that when machine/supervisor exception occurs the machine/supervisor address is fetched. Functional cov: exception occurs in machine/supervisor mode. ",Functional Coverage,,"Interrupt, Exceptions",Yes
pc generation priority,FRONTEND.PCGenStage,CVA6V_000,3,"The next PC can originate from the following sources (listed in order of precedence): Use arch_test executing return from env call and generate Exceptions by UVM during reset, Branch predict, default, mispredict, replay and return from env call. Functional cov: monitor the 6 events",Functional Coverage,,Control_Flow,Yes
branch history table saturation,FRONTEND.PCGenStage,CVA6V_000,3,The Branch History table is a two-bit saturation counter that takes the virtual address of the current fetched instruction by the CACHE. It states whether the current branch request should be taken or not. The two bit counter is updated by the successive execution of the current instructions as shown in the following figure. Execute a series of taken and not taken branch to check the saturation mechanism.,Functional Coverage,,Control_Flow,Yes
fetch exception- bus error,FRONTEND.FetchStage,CVA6V_000,3,"Memory and MMU can feedback potential exceptions generated by the memory fetch request. They can be bus errors, invalid accesses or instruction page faults. Generate a bus error exception and check that the exception address is fetched. Functional cov: a bus error exception occurs.",Functional Coverage,,Exceptions,Yes
fetch exception- invalid access,FRONTEND.FetchStage,CVA6V_000,3,"Memory and MMU can feedback potential exceptions generated by the memory fetch request. They can be bus errors, invalid accesses or instruction page faults. Generate an invalid access exception and check that the exception address is fetched. Functional cov: an invalid access exception occurs.",Functional Coverage,,Exceptions,Yes
,,,,,,,,
,,,,,,,,
,,,,,,,,
load instructions,ISA.RV64I,CVA6V_003,5,"Load Byte (LB), Load Halfword (LH), Load Word (LWU), Load Byte Unsigned (LBU), Load Half Unigned (LHU), Load Double (LD), Load Word Unsigned (LWU) ",Functional Coverage,,Memory,No
store instructions,ISA.RV64I,CVA6V_003,5,"Store Byte (SB), Store Halfword (SH), Store Word (SW), Store Double (SD)",Functional Coverage,,ALU,No
shift instructions,ISA.RV64I,CVA6V_003,5,"Shift Left Logical (SLL), Shift Left Logical Immediate (SLLI), Shift Right Logical (SRL), Shift Right Logical Immediate (SRLI), Shift Right Arithmetic (SRA), Shift Right Arithmetic Immediate (SRAI), Shift Left Logical Word (SLLW), Shift Left Logical Immediate Word (SLLIW), Shift Right Logical Word (SRLW), Shift Right Logical Immediate Word (SRLIW), Shift Right Arithmetic Word (SRAW), Shift Right Arithmetic Immediate Word (SRAIW)",Functional Coverage,,ALU,No
arithmetic instructions,ISA.RV64I,CVA6V_003,5,"Add (ADD), Add Immediate (ADDI), Subtract (SUB), Load Upper Immediate (LUI), Add Upper Immediate to PC (AUIPC), Add Word (ADDW), Add Immediate Word (ADDIW), Subtract Word (SUBW)",Functional Coverage,,ALU,No
logical instructions,ISA.RV64I,CVA6V_003,5,"XOR (XOR), XOR Immediate (XORI), OR (OR), OR Immediate (ORI), AND (AND), AND Immediate (ANDI)",Functional Coverage,,ALU,No
compare instructions,ISA.RV64I,CVA6V_003,5,"Set < (SLT), Set < Immediate (SLTI), Set < Unsigned (SLTU), Set < Imm Unsigned (SLTIU)",Functional Coverage,,ALU,No
branch instructions,ISA.RV64I,CVA6V_003,5,"Branch Equal (BEQ), Branch Not Equal (BNEQ), Branch Less Than (BLT), Branch Greater Than or Equal to (BGE), Branch Less Than Unsigned (BLTU), Branch Greater Than Or Equal To Unsigned (BGEU)",Functional Coverage,,Control_Flow,No
jump and link instructions,ISA.RV64I,CVA6V_003,5,"Jump and Link (JAL), Jump and Link Register (JALR)",Functional Coverage,,Control_Flow,No
synch instructions,ISA.RV64I,CVA6V_008,4,"Sync Thread (FENCE), Sync Instruction and Data (FENCE.I)",Functional Coverage,,Control_Flow,No
system instructions,ISA.RV64I,CVA6V_000,5,"System Call (SCALL), System Break (SBREAK)",Functional Coverage,,Privileged_Instructions,No
counter instructions,ISA.RV64I,CVA6V_005,2,"Read Cycle (RDCYCLE), Read Cycle Upper Half (RDCYCLEH), Read Time (RDTIME), Read Time Upper Half (RDTIMEH), Read Instruction Retired (RDINSTRET), Read Instruction Retired Upper Half (RDINSTRETH)",Functional Coverage,,Counters_Timers,No
CSR access instructions,ISA.RVPrivileged,CVA6V_000,5,"Atomic Read/Write (CSRRW), Atomic Read and Set Bit (CSRRS), Atomic Read and Clear Bit (CSRRC), Atomic Read/Write Immediate (CSRRWI), Atomic Read and Set Immediate (CSRSI), Atomic Read and Clear Immediate (CSRCI)",Functional Coverage,,Privileged_Instructions,No
change level instructions,ISA.RVPrivileged,CVA6V_000,5,"Env. Call (ECALL), Env. Breakpoint (EBREAK), Env. Return (ERET)",Functional Coverage,,Privileged_Instructions,No
trap redirect instructions,ISA.RVPrivileged,CVA6V_006,5,Redirect Trap to Supervisor (MRTS),Functional Coverage,,Privileged_Instructions,No
interrupt instructions,ISA.RVPrivileged,CVA6V_007,5,Wait for Interrupt (WFI),Functional Coverage,,Privileged_Instructions,No
mmu instructions,ISA.RVPrivileged,CVA6V_009,5,Supervisor FENCE (SFENCE.VM),Functional Coverage,,Privileged_Instructions,No
compressed loads,ISA.RVC,CVA6V_003,5,"Load Word (C.LW), Load Word SP (C.LWSP), Load Double (C.LD), Load Double SP (C.LDSP)",Functional Coverage,,Memory,No
compressed stores,ISA.RVC,CVA6V_003,5,"Store Word (C.SW), Store Word SP (C.SWSP), Store Double (C.SD), Store Double SP (C.SDSP)",Functional Coverage,,Memory,No
compressed arithmetic,ISA.RVC,CVA6V_003,5,"Add (C.ADD), Add Word (C.ADDW), ADD Immediate (C.ADDI), Add Word Immediate (C.ADDIW), Add SP Immediate * 16 (C.ADDI16SP), Add SP Immediate * 4 (C.ADDI4SPN), Load Immediate (C.LI), Load Upper Immediate (C.LUI), Move (C.MV), Sub (C.SUB)",Functional Coverage,,ALU,No
compressed shifts,ISA.RVC,CVA6V_003,5,Shift Left Immediate (C.SLLI),Functional Coverage,,ALU,No
compressed branches,ISA.RVC,CVA6V_003,5,"Branch If Equal to Zero (C.BEQZ), Branch If Not Zero (C.BNEZ)",Functional Coverage,,Control_Flow,No
compressed jumps,ISA.RVC,CVA6V_003,5,"Jump (C.J), Jump Register (C.JR)",Functional Coverage,,Control_Flow,No
compressed jump and link,ISA.RVC,CVA6V_003,5,"Jump and Link (C.JAL), Jump and Link Register (C.JALR)",Functional Coverage,,Control_Flow,No
compressed system,ISA.RVC,CVA6V_003,5,Env Break (C.EBREAK),Functional Coverage,,Privileged_Instructions,No
multiply instructions,ISA.RVM,CVA6V_003,5,"Multiply (MUL), Multiply Word (MULW), Multiply Upper Half (MULH), Multiply Half Signd Unsigned (MULHSU), Multiply Upper Half Unsigned (MULHU), Divide (DIV), Divide Word (DIVW), Divide Unsigned (DIVU), Remainder (REM), Remainder Word (REMW), Remainder Unsigned (REMU), Remainder Unsigned Word (REMUW)",Functional Coverage,,ALU,No
atomic load,ISA.RVA,CVA6V_003,5,"Load Reserved Word (LR.W), Load Reserved Double (LR.D)",Functional Coverage,,Memory,No
atomic store,ISA.RVA,CVA6V_003,5,"Store Conditioan Word (SC.W), Store Conditional Double (SC.D)",Functional Coverage,,Memory,No
atomic swap,ISA.RVA,CVA6V_003,5,"Swap Word (AMOSWAP.W), Swap Double (AMOSWAP.D)",Functional Coverage,,ALU,No
atomic add,ISA.RVA,CVA6V_003,5,"Add Word (AMOADD.W), Add Double (AMOADD.D)",Functional Coverage,,ALU,No
atomic logical,ISA.RVA,CVA6V_003,5,"XOR Word (AMOXOR), XOR Double (AMOXOR.D), AND Word (AMOAND.W), AND Double (AMOAND.D), OR Word (AMOOR.W), OR Double (AMOOR.D)",Functional Coverage,,ALU,No
atomic min max,ISA.RVA,CVA6V_003,5,"Minimum Word (AMOMIN.W), Minimum Double (AMOMIN.D), Maximum Word (AMOMAX.W), Maximum Double (AMOMAX.D), Minimum Word Unsigned (AMOMINU.W), Minimum Double Unsigned (AMOMINU.D), Maximum Word Unsigned (AMOMAXU.W), Maximum Double Unsigned (AMOMAXU.D)",Functional Coverage,,ALU,No
fp move,ISA.RVF,CVA6V_004,5,"Move from Integer Half Precision (FMV.H.X), Move from Integer Single Precision (FMV.S.X), Move to Integer Half Precision (FMV.X.H), Move to Integer Single Precision (FMV.X.S)",Functional Coverage,,FPU,No
fp convert,ISA.RVF,CVA6V_004,5,"Convert from Int Half Precision (FCVT.H.W), Convert from Int Single Precision (FCVT.S.W), Convert from Int Unsigned Half Precision (FCVT.H.WU), Convert from Int Unsigned Single Precision (FCVT.S.WU), Convert to Int Half Precision (FCVT.W.H), Convert to Int Single Precision (FCVT.W.S), Convert to Int Unsigned Half Precision (FCVT.WU.H), Convert to Int Unsigned Single Precision (FCVT.WU.S)",Functional Coverage,,FPU,No
fp load,ISA.RVF,CVA6V_003,5,Load (FLW),Functional Coverage,,FPU,No
fp store,ISA.RVF,CVA6V_003,5,Store (FLW),Functional Coverage,,FPU,No
fp arithmetic,ISA.RVF,CVA6V_003,5,"Add (FADD.S), Subtract (FSUB.S), Multiply (FMUL.S), Divide (FDIV.S), Square Root (FSQRT.S)",Functional Coverage,,FPU,No
fp multiply add,ISA.RVF,CVA6V_003,5,"Multiply-add (FMADD.S), Multiply-subtract (FMSUB.S), Negative Multiply Subtract (FNMSUB.S), Negative Multiply-add (FNMADD.S)",Functional Coverage,,FPU,No
fp sign inject,ISA.RVF,CVA6V_003,5,"Sign Source (FSGNJ.S), Negative Sign Source (FSGNJN.S), XOR Sign Source (FSGNJX.S)",Functional Coverage,,FPU,No
fp min max,ISA.RVF,CVA6V_003,5,"Minimum (FMIN.S), Maximum (FMAX.S)",Functional Coverage,,FPU,No
fp compare,ISA.RVF,CVA6V_003,5,"Compare Float Equal (FEQ.S), Compare Float Less Than (FLT.S), Compare Float Less Than Or Equal (FLE.S)",Functional Coverage,,FPU,No
fp categorization,ISA.RVF,CVA6V_003,5,Classify Type (FCLASS.S),Functional Coverage,,FPU,No
fp configuration,ISA.RVF,CVA6V_003,5,"Read Status (FRCSR), Read Rounding Mode (FRRM), Read Flags (FRFLAGS), Swap Status Reg (FSCSR), Swap Rounding Mode (FSRM), Swap Flags (FSFLAGS), Swap Rounding Mode Imm (FSRMI), Swap Flags Imm (FSFLAGSI)",Functional Coverage,,FPU,No
,,,,,,,,
,,,,,,,,
,,,,,,,,
pte.V=0 - read,MMU.SV39,CVA6V_009,4,"If PTE does not have Valid (pte.V=0) permission, then accessing it would raise page fault exception of the corresponding access type.When satp.mode=sv39 and PTE has (r,w,x) PMP permissions, then test the following in supervisor and user privilege mode for level2 to level0 PTE: Set PTE.V = 0 and test the read acces. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode. Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for read accesses.",Directed Test,riscv-mmu test suite,,Derived
pte.V=0 - write,MMU.SV39,CVA6V_009,4,"If PTE does not have Valid (pte.V=0) permission, then accessing it would raise page fault exception of the corresponding access type.When satp.mode=sv39 and PTE has (r,w,x) PMP permissions, then test the following in supervisor and user privilege mode for level2 to level0 PTE: Set PTE.V = 0 and test the write acces. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode. Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for write accesses.",Directed Test,riscv-mmu test suite,,Derived
pte.V=0 - execute,MMU.SV39,CVA6V_009,4,"If PTE does not have Valid (pte.V=0) permission, then accessing it would raise page fault exception of the corresponding access type.When satp.mode=sv39 and PTE has (r,w,x) PMP permissions, then test the following in supervisor and user privilege mode for level2 to level0 PTE: Set PTE.V = 0 and test the execute acces. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode. Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for execute accesses.",Directed Test,riscv-mmu test suite,,Derived
reserved RWX PTE permission - read,MMU.SV39,CVA6V_009,4,"If PTE has reserved RWX encodings (pte.w=1 & pte.r=0), then accessing it would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, and pte.v=1, then test the following in supervisor and user privilege mode for level2 to level0 PTE: Set pte.w=1 & pte.r=0 and test the read access. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode.  Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for read accesses.",Directed Test,riscv-mmu test suite,,Derived
reserved RWX PTE permission - write,MMU.SV39,CVA6V_009,4,"If PTE has reserved RWX encodings (pte.w=1 & pte.r=0), then accessing it would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, and pte.v=1, then test the following in supervisor and user privilege mode for level2 to level0 PTE: Set pte.w=1 & pte.r=0 and test the write access. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode.  Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for write accesses.",Directed Test,riscv-mmu test suite,,Derived
reserved RWX PTE permission - execute,MMU.SV39,CVA6V_009,4,"If PTE has reserved RWX encodings (pte.w=1 & pte.r=0), then accessing it would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, and pte.v=1, then test the following in supervisor and user privilege mode for level2 to level0 PTE: Set pte.w=1 & pte.r=0 and test the execute access. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode.  Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for execute accesses.",Directed Test,riscv-mmu test suite,,Derived
non-leaf PTE permission at level 0 - read,MMU.SV39,CVA6V_009,4,"If PTE at level0 has non-leaf RWX permissions, then accessing it would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, and pte.v=1, then test the following in supervisor and user privilege mode for level0 PTE: Set pte.x=0 & pte.r=0 & pte.w=0 and test the read acces. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode.  Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for read accesses.",Directed Test,riscv-mmu test suite,,Derived
non-leaf PTE permission at level 0 -write,MMU.SV39,CVA6V_009,4,"If PTE at level0 has non-leaf RWX permissions, then accessing it would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, and pte.v=1, then test the following in supervisor and user privilege mode for level0 PTE: Set pte.x=0 & pte.r=0 & pte.w=0 and test the write acces. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode.  Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for write accesses.",Directed Test,riscv-mmu test suite,,Derived
non-leaf PTE permission at level 0 -execute,MMU.SV39,CVA6V_009,4,"If PTE at level0 has non-leaf RWX permissions, then accessing it would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, and pte.v=1, then test the following in supervisor and user privilege mode for level0 PTE: Set pte.x=0 & pte.r=0 & pte.w=0 and test the execute acces. For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Set pte.U=0 when test in Supervisor mode and Set pte.U=1 when testing in user mode.  Page fault exception should be raised according to {x,r,w} access type. Check m/scause and m/sepc accordingly for execute accesses.",Directed Test,riscv-mmu test suite,,Derived
RWX on S-mode pages in S-mode - read,MMU.SV39,CVA6V_009,4,"If PTE belongs to supervisor mode i.e. its U permission bit is clear (pte.u = 0), then accessing that PTE in supervisor mode should be successful if the corresponding (r,w,x) permission of PTE is granted. Otherwise raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, PTE has non-reserved RWX encoding, pte.u=0 and pte.v=1, then test the following in supervisor privilege mode for level 2 to level 0 PTE: Test the read access for both pte.r=1 and for pte.r=0. Check for both successful access and access with page fault exceptions.  Check m/scause and m/sepc accordingly for read accesses.",Directed Test,riscv-mmu test suite,,Derived
RWX on S-mode pages in S-mode - write,MMU.SV39,CVA6V_009,4,"If PTE belongs to supervisor mode i.e. its U permission bit is clear (pte.u = 0), then accessing that PTE in supervisor mode should be successful if the corresponding (r,w,x) permission of PTE is granted. Otherwise raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, PTE has non-reserved RWX encoding, pte.u=0 and pte.v=1, then test the following in supervisor privilege mode for level 2 to level 0 PTE: Test the write access for both pte.w=1 and for pte.w=0. Check for both successful access and access with page fault exceptions.  Check m/scause and m/sepc accordingly for write accesses.",Directed Test,riscv-mmu test suite,,Derived
RWX on S-mode pages in S-mode - execute,MMU.SV39,CVA6V_009,4,"If PTE belongs to supervisor mode i.e. its U permission bit is clear (pte.u = 0), then accessing that PTE in supervisor mode should be successful if the corresponding (r,w,x) permission of PTE is granted. Otherwise raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, PTE has non-reserved RWX encoding, pte.u=0 and pte.v=1, then test the following in supervisor privilege mode for level 2 to level 0 PTE: Test the execute access for both pte.x=1 and for pte.x=0. Check for both successful access and access with page fault exceptions.  Check m/scause and m/sepc accordingly for execute accesses.",Directed Test,riscv-mmu test suite,,Derived
RWX on S-mode pages in U-mode - read,MMU.SV39,CVA6V_009,4,"If PTE belongs to supervisor mode i.e. its U permission bit is clear (pte.u = 0), then accessing that PTE in user mode would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, PTE has on-reserved RWX encoding, and pte.v=1, then test the following user privilege mode for level2 to level0 PTE: Set pte.u=0 and test the read access. Check m/scause and m/sepc accordingly for read accesses.",Directed Test,riscv-mmu test suite,,Derived
RWX on S-mode pages in U-mode - write,MMU.SV39,CVA6V_009,4,"If PTE belongs to supervisor mode i.e. its U permission bit is clear (pte.u = 0), then accessing that PTE in user mode would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, PTE has on-reserved RWX encoding, and pte.v=1, then test the following user privilege mode for level2 to level0 PTE: Set pte.u=0 and test the write access. Check m/scause and m/sepc accordingly for write accesses.",Directed Test,riscv-mmu test suite,,Derived
RWX on S-mode pages in U-mode - execute,MMU.SV39,CVA6V_009,4,"If PTE belongs to supervisor mode i.e. its U permission bit is clear (pte.u = 0), then accessing that PTE in user mode would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, PTE has on-reserved RWX encoding, and pte.v=1, then test the following user privilege mode for level2 to level0 PTE: Set pte.u=0 and test the execute access. Check m/scause and m/sepc accordingly for execute accesses.",Directed Test,riscv-mmu test suite,,Derived
RWX on U-mode pages in S-mode w/ mstatus.SUM=0 - read,MMU.SV39,CVA6V_009,4,"If PTE belongs to user mode i.e. its U permission bit is set (pte.u = 1) and m/sstatus.SUM = 0, then accessing that PTE in supervisor mode would raise page fault exception of the corresponding access type. When satp.mode=sv39, PTE has (r,w,x) PMP permissions, PTE has non-reserved RWX encoding, and pte.v=1, then test the following in supervisor mode for level 2 to level 0 PTE. Set pte.u=1 & s/mstatus.SUM = 0 and test the read access.  For testing at levelN, set all the pte perimssions at level(N+1) to 0 except pte.v, so that level(N+1) points to levelN. Check m/scause and m/sepc accordingly for read accesses.",Directed Test,riscv-mmu test suite,,Derived
